Rank,Team/NOC,Gold,Silver,Bronze,Total,Continent
1,United States of America,39,41,33,113,North America
2,People's Republic of China,38,32,18,88,Asia
3,Japan,27,14,17,58,Asia
4,Great Britain,22,21,22,65,Europe
5,ROC,20,28,23,71,Europe
6,Australia,17,7,22,46,Oceania
7,Netherlands,10,12,14,36,Europe
8,France,10,12,11,33,Europe
9,Germany,10,11,16,37,Europe
10,Italy,10,10,20,40,Europe
11,Canada,7,6,11,24,North America
12,Brazil,7,6,8,21,South America
13,New Zealand,7,6,7,20,Oceania
14,Cuba,7,3,5,15,North America
15,Hungary,6,7,7,20,Europe
16,Republic of Korea,6,4,10,20,Asia
17,Poland,4,5,5,14,Europe
18,Czech Republic,4,4,3,11,Europe
19,Kenya,4,4,2,10,Africa
20,Norway,4,2,2,8,Europe
21,Jamaica,4,1,4,9,North America
22,Spain,3,8,6,17,Europe
23,Sweden,3,6,0,9,Europe
24,Switzerland,3,4,6,13,Europe
25,Denmark,3,4,4,11,Europe
26,Croatia,3,3,2,8,Europe
27,Islamic Republic of Iran,3,2,2,7,Asia
28,Serbia,3,1,5,9,Europe
29,Belgium,3,1,3,7,Europe
30,Bulgaria,3,1,2,6,Europe
31,Slovenia,3,1,1,5,Europe
32,Uzbekistan,3,0,2,5,Asia
33,Georgia,2,5,1,8,Europe
34,Chinese Taipei,2,4,6,12,Asia
35,Turkey,2,2,9,13,Europe
36,Greece,2,1,1,4,Europe
36,Uganda,2,1,1,4,Africa
38,Ecuador,2,1,0,3,South America
39,Ireland,2,0,2,4,Europe
39,Israel,2,0,2,4,Asia
41,Qatar,2,0,1,3,Asia
42,Bahamas,2,0,0,2,North America
42,Kosovo,2,0,0,2,Europe
44,Ukraine,1,6,12,19,Europe
45,Belarus,1,3,3,7,Europe
46,Romania,1,3,0,4,Europe
46,Venezuela,1,3,0,4,South America
48,India,1,2,4,7,Asia
49,"Hong Kong, China",1,2,3,6,Asia
50,Philippines,1,2,1,4,Asia
50,Slovakia,1,2,1,4,Europe
52,South Africa,1,2,0,3,Africa
53,Austria,1,1,5,7,Europe
54,Egypt,1,1,4,6,Africa
55,Indonesia,1,1,3,5,Asia
56,Ethiopia,1,1,2,4,Africa
56,Portugal,1,1,2,4,Europe
58,Tunisia,1,1,0,2,Africa
59,Estonia,1,0,1,2,Europe
59,Fiji,1,0,1,2,Oceania
59,Latvia,1,0,1,2,Europe
59,Thailand,1,0,1,2,Asia
63,Bermuda,1,0,0,1,North America
63,Morocco,1,0,0,1,Africa
63,Puerto Rico,1,0,0,1,North America
66,Colombia,0,4,1,5,South America
67,Azerbaijan,0,3,4,7,Europe
68,Dominican Republic,0,3,2,5,North America
69,Armenia,0,2,2,4,Europe
70,Kyrgyzstan,0,2,1,3,Asia
71,Mongolia,0,1,3,4,Asia
72,Argentina,0,1,2,3,South America
72,San Marino,0,1,2,3,Europe
74,Jordan,0,1,1,2,Asia
74,Malaysia,0,1,1,2,Asia
74,Nigeria,0,1,1,2,Africa
77,Bahrain,0,1,0,1,Asia
77,Saudi Arabia,0,1,0,1,Asia
77,Lithuania,0,1,0,1,Europe
77,North Macedonia,0,1,0,1,Europe
77,Namibia,0,1,0,1,Africa
77,Turkmenistan,0,1,0,1,Asia
83,Kazakhstan,0,0,8,8,Asia
84,Mexico,0,0,4,4,North America
85,Finland,0,0,2,2,Europe
86,Botswana,0,0,1,1,Africa
86,Burkina Faso,0,0,1,1,Africa
86,Côte d'Ivoire,0,0,1,1,Africa
86,Ghana,0,0,1,1,Africa
86,Grenada,0,0,1,1,North America
86,Kuwait,0,0,1,1,Asia
86,Republic of Moldova,0,0,1,1,Europe
86,Syrian Arab Republic,0,0,1,1,Asia
